Date,NomFR,Heure,site,longitude,latitude
2024-07-25,Pipistrelle commune,3,Labat,-0.3820672631,44.7143621141
2024-07-04,Barbatiste pyreneen,21,Garenne,-0.3852939606,44.7161770169
2024-07-27,Murin de grande taille,1,Aplomb,-0.3806054591,44.7167962612
2024-07-27,Pipistrelle commune,3,Aplomb,-0.3806054591,44.7167962612
2024-05-29,Serotine commune,22,Bas Glanan,-0.3770622611,44.7172574513
2024-03-08,Grand Rhinolophe,0,Château,-0.3834056854,44.7177627705
2024-07-25,Pipistrelle commune,5,Aplomb,-0.3806054591,44.7167962612
2024-07-27,Serotine commune,0,Labat,-0.3820672631,44.7143621141
2024-07-24,Pipistrelle de Kuhl,22,Aplomb,-0.3806054591,44.7167962612
2024-05-29,Ecaille pudique,23,Bas Glanan,-0.3770622611,44.7172574513
2024-07-27,Serotine commune,0,Aplomb,-0.3806054591,44.7167962612
2024-05-31,Phaneroptere liliace,20,Bas Glanan,-0.3770622611,44.7172574513
2024-07-04,Barbatiste pyreneen,21,Labat,-0.3820672631,44.7143621141
2024-03-07,Murin groupe Natterer,20,Entrée,-0.3853797913,44.7167335603
2024-03-09,Serotine commune,19,Château,-0.3834056854,44.7177627705
2024-03-08,Serotine commune,1,Château,-0.3834056854,44.7177627705
2024-07-25,Pipistrelle commune,1,Aplomb,-0.3806054591,44.7167962612
2024-07-25,Noctule de Leisler,1,Aplomb,-0.3806054591,44.7167962612
2024-07-24,Noctule de Leisler,3,Aplomb,-0.3806054591,44.7167962612
2024-03-09,Murin de Daubenton,1,Entrée,-0.3853797913,44.7167335603
2024-07-24,Serotine commune,2,Labat,-0.3820672631,44.7143621141
2024-07-23,Murin groupe Natterer,22,Bois,-0.3774109483,44.7149057142
2024-07-27,Pipistrelle de Kuhl,2,Labat,-0.3820672631,44.7143621141
2024-05-29,Murin de grande taille,22,Bas Glanan,-0.3770622611,44.7172574513
2024-07-24,Grand Rhinolophe,22,Labat,-0.3820672631,44.7143621141
2024-05-31,Barbatiste pyreneen,18,Bas Glanan,-0.3770622611,44.7172574513
2024-05-30,Serotine commune,3,Bas Glanan,-0.3770622611,44.7172574513
2024-07-24,Noctule de Leisler,2,Aplomb,-0.3806054591,44.7167962612
2024-07-24,Noctule de Leisler,23,Aplomb,-0.3806054591,44.7167962612
2024-05-31,Barbatiste pyreneen,19,Bas Glanan,-0.3770622611,44.7172574513
2024-05-30,Barbatiste pyreneen,2,Garenne,-0.3852939606,44.7161770169
2024-03-08,Pipistrelle de Kuhl,4,Château,-0.3834056854,44.7177627705
2024-07-02,Decticelle cotiere,22,Garenne,-0.3852939606,44.7161770169
2024-05-30,Pipistrelle commune,1,Bas Glanan,-0.3770622611,44.7172574513
2024-07-24,Pipistrelle de Kuhl,1,Aplomb,-0.3806054591,44.7167962612
2024-05-30,Murin groupe Natterer,2,Garenne,-0.3852939606,44.7161770169
2024-07-26,Pipistrelle commune,1,Aplomb,-0.3806054591,44.7167962612
2024-07-27,Serotine commune,2,Aplomb,-0.3806054591,44.7167962612
2024-03-07,Serotine commune,19,Château,-0.3834056854,44.7177627705
2024-03-09,Murin groupe Natterer,23,Entrée,-0.3853797913,44.7167335603
2024-07-24,Pipistrelle de Kuhl,6,Labat,-0.3820672631,44.7143621141
2024-05-31,Ecaille pudique,22,Garenne,-0.3852939606,44.7161770169
2024-05-31,Noctule de Leisler,2,Garenne,-0.3852939606,44.7161770169
2024-05-30,Ecaille pudique,1,Bas Glanan,-0.3770622611,44.7172574513
2024-05-30,Serotine commune,2,Bas Glanan,-0.3770622611,44.7172574513
2024-07-26,Noctule de Leisler,1,Aplomb,-0.3806054591,44.7167962612
2024-05-31,Noctule de Leisler,0,Bas Glanan,-0.3770622611,44.7172574513
2024-03-07,Murin de Daubenton,20,Entrée,-0.3853797913,44.7167335603
