title,text,id,datatype,startdate,enddate,geometry.type,latitude,longitude
Elanus caeruleus,<a href="https://www.gbif.org/species/2480372" target="_blank">Voir sur GBIF</a>,f409967a-889f-422a-b169-83632c8a8b0c,gbif,2021-12-22T00:00:00.000Z,2021-12-22T00:00:00.000Z,Point,44.73669,-0.36622
Garrulus glandarius,<a href="https://www.gbif.org/species/5229493" target="_blank">Voir sur GBIF</a>,948d5555-503e-49d7-a6a0-8c9c5b75deaa,gbif,2021-12-19T00:00:00.000Z,2021-12-19T00:00:00.000Z,Point,44.69193,-0.37829
Fringilla coelebs,<a href="https://www.gbif.org/species/2494422" target="_blank">Voir sur GBIF</a>,60f3f6ab-e1ed-4d25-8ae0-a1f3d2282c68,gbif,2021-12-19T00:00:00.000Z,2021-12-19T00:00:00.000Z,Point,44.69193,-0.37829
Falco peregrinus,<a href="https://www.gbif.org/species/2481047" target="_blank">Voir sur GBIF</a>,4f7c58d1-2727-4df2-9e10-a70ad8b25300,gbif,2021-12-18T00:00:00.000Z,2021-12-18T00:00:00.000Z,Point,44.70778,-0.37413
Parus major,<a href="https://www.gbif.org/species/9705453" target="_blank">Voir sur GBIF</a>,d723a7b4-e953-4d7c-ac8c-1b0bb89b655e,gbif,2021-12-17T00:00:00.000Z,2021-12-17T00:00:00.000Z,Point,44.70778,-0.37413
Regulus ignicapilla,<a href="https://www.gbif.org/species/6093527" target="_blank">Voir sur GBIF</a>,e37c8bd4-ed40-47be-ae99-b7edb2dc1796,gbif,2021-12-17T00:00:00.000Z,2021-12-17T00:00:00.000Z,Point,44.70778,-0.37413
Chloris chloris,<a href="https://www.gbif.org/species/5845582" target="_blank">Voir sur GBIF</a>,27b1c934-9794-40bd-bf7c-82af3bacd34f,gbif,2021-12-12T00:00:00.000Z,2021-12-12T00:00:00.000Z,Point,44.70778,-0.37413
Coccothraustes coccothraustes,<a href="https://www.gbif.org/species/2494329" target="_blank">Voir sur GBIF</a>,480febab-5d27-45ff-b0f4-76bc6d704850,gbif,2021-12-12T00:00:00.000Z,2021-12-12T00:00:00.000Z,Point,44.70778,-0.37413
Tichodroma muraria,<a href="https://www.gbif.org/species/2484918" target="_blank">Voir sur GBIF</a>,e0ffa54b-f90b-482d-bc37-f17e7bf0fbb0,gbif,2021-12-11T00:00:00.000Z,2021-12-11T00:00:00.000Z,Point,44.70778,-0.37413
Ciconia ciconia,<a href="https://www.gbif.org/species/2481912" target="_blank">Voir sur GBIF</a>,ec647411-dc62-4daf-a462-d30d05bad802,gbif,2021-12-04T00:00:00.000Z,2021-12-04T00:00:00.000Z,Point,44.70778,-0.37413
Prunella modularis,<a href="https://www.gbif.org/species/5231763" target="_blank">Voir sur GBIF</a>,df5a3eb6-55e8-4302-8577-834b57a9225a,gbif,2021-12-03T00:00:00.000Z,2021-12-03T00:00:00.000Z,Point,44.70778,-0.37413
Streptopelia decaocto,<a href="https://www.gbif.org/species/2495696" target="_blank">Voir sur GBIF</a>,ae47728a-c155-47dc-aea2-d819933ab5c9,gbif,2021-12-03T00:00:00.000Z,2021-12-03T00:00:00.000Z,Point,44.70778,-0.37413
Emberiza cirlus,<a href="https://www.gbif.org/species/7626513" target="_blank">Voir sur GBIF</a>,ee7843c7-2af5-48db-8841-1662608bf720,gbif,2021-11-29T00:00:00.000Z,2021-11-29T00:00:00.000Z,Point,44.69193,-0.37829
Turdus philomelos,<a href="https://www.gbif.org/species/7901064" target="_blank">Voir sur GBIF</a>,f273e558-907c-4fb1-8eb4-bb44046d0bc4,gbif,2021-11-29T00:00:00.000Z,2021-11-29T00:00:00.000Z,Point,44.70778,-0.37413
Turdus philomelos,<a href="https://www.gbif.org/species/7901064" target="_blank">Voir sur GBIF</a>,32b4c2eb-c667-4c85-a0db-d2aefbbd7e06,gbif,2021-11-29T00:00:00.000Z,2021-11-29T00:00:00.000Z,Point,44.69193,-0.37829
Falco tinnunculus,<a href="https://www.gbif.org/species/9616058" target="_blank">Voir sur GBIF</a>,461568df-ee26-4ebf-81d3-e281077fb1c7,gbif,2021-11-29T00:00:00.000Z,2021-11-29T00:00:00.000Z,Point,44.69193,-0.37829
Passer domesticus,<a href="https://www.gbif.org/species/5231190" target="_blank">Voir sur GBIF</a>,b5f64428-7019-4d22-bdd6-a36157aedcf2,gbif,2021-11-29T00:00:00.000Z,2021-11-29T00:00:00.000Z,Point,44.69193,-0.37829
Uromenus rugosicollis,<a href="https://www.gbif.org/species/1692361" target="_blank">Voir sur GBIF</a>,4013eb34-d7e7-4bb9-96ca-c8b01be5e02c,gbif,2021-11-28T00:00:00.000Z,2021-11-28T00:00:00.000Z,Point,44.70778,-0.37413
Picus viridis,<a href="https://www.gbif.org/species/2478523" target="_blank">Voir sur GBIF</a>,0724466c-aa40-41cf-95cc-4830a2eda536,gbif,2021-11-27T00:00:00.000Z,2021-11-27T00:00:00.000Z,Point,44.69193,-0.37829
Falco tinnunculus,<a href="https://www.gbif.org/species/9616058" target="_blank">Voir sur GBIF</a>,eadd8ab6-c030-4caf-b907-a2b019b1e6c9,gbif,2021-11-27T00:00:00.000Z,2021-11-27T00:00:00.000Z,Point,44.70778,-0.37413
Corvus corone,<a href="https://www.gbif.org/species/9409796" target="_blank">Voir sur GBIF</a>,8288da34-c0e1-447a-92eb-b4f9e85b105a,gbif,2021-11-27T00:00:00.000Z,2021-11-27T00:00:00.000Z,Point,44.70778,-0.37413
Motacilla cinerea,<a href="https://www.gbif.org/species/2490310" target="_blank">Voir sur GBIF</a>,c1e45cd6-04e0-4280-aeea-a27e41ad73e0,gbif,2021-11-27T00:00:00.000Z,2021-11-27T00:00:00.000Z,Point,44.70778,-0.37413
Certhia brachydactyla,<a href="https://www.gbif.org/species/7806848" target="_blank">Voir sur GBIF</a>,7c8509ab-3902-4347-a8ed-168d832ddc7f,gbif,2021-11-19T00:00:00.000Z,2021-11-19T00:00:00.000Z,Point,44.70778,-0.37413
Poecile palustris,<a href="https://www.gbif.org/species/2487843" target="_blank">Voir sur GBIF</a>,44db856b-38fe-441a-8f9b-dff0bea127e5,gbif,2021-11-19T00:00:00.000Z,2021-11-19T00:00:00.000Z,Point,44.70778,-0.37413
